"model_id","location","log_score","n"
"Flusight-baseline","01",5.17256137351268,16
"Flusight-baseline","02",7.05478642499644,16
"Flusight-baseline","04",6.2013095727127,16
"Flusight-baseline","05",2.31255342290204,16
"Flusight-baseline","06",Inf,16
"Flusight-baseline","08",1.08375891013073,16
"Flusight-baseline","09",Inf,16
"Flusight-baseline","10",2.23654262123668,16
"Flusight-baseline","11",Inf,16
"Flusight-baseline","12",1.67226480142234,16
"Flusight-baseline","13",0.0230674841126015,16
"Flusight-baseline","15",0.0110384083427154,16
"Flusight-baseline","16",Inf,16
"Flusight-baseline","17",Inf,16
"Flusight-baseline","18",Inf,16
"Flusight-baseline","19",5.89821859081182,16
"Flusight-baseline","20",Inf,16
"Flusight-baseline","21",Inf,16
"Flusight-baseline","22",2.78360695195739,16
"Flusight-baseline","23",3.48175710751928,16
"Flusight-baseline","24",5.20576889487167,16
"Flusight-baseline","25",Inf,16
"Flusight-baseline","26",Inf,16
"Flusight-baseline","27",3.26006477599016,16
"Flusight-baseline","28",5.50885153571826,16
"Flusight-baseline","29",Inf,16
"Flusight-baseline","30",3.38014338451439,16
"Flusight-baseline","31",1.89368870590002,16
"Flusight-baseline","32",5.19754928335681,16
"Flusight-baseline","33",5.55395563261293,16
"Flusight-baseline","34",5.60070154215084,16
"Flusight-baseline","35",1.57453828669555,16
"Flusight-baseline","36",Inf,16
"Flusight-baseline","37",2.49819511386341,16
"Flusight-baseline","38",1.84544502465507,16
"Flusight-baseline","39",Inf,16
"Flusight-baseline","40",4.5367771505065,16
"Flusight-baseline","41",Inf,16
"Flusight-baseline","42",7.12992761826992,16
"Flusight-baseline","44",1.33034849235121,16
"Flusight-baseline","45",4.15406712215277,16
"Flusight-baseline","46",3.27986174951667,16
"Flusight-baseline","47",3.85250478692709,16
"Flusight-baseline","48",4.32385193813166,16
"Flusight-baseline","49",0.239288942300478,16
"Flusight-baseline","50",4.59524822626042,16
"Flusight-baseline","51",Inf,16
"Flusight-baseline","53",Inf,16
"Flusight-baseline","54",2.80843114817071,16
"Flusight-baseline","55",Inf,16
"Flusight-baseline","56",4.40426121903252,16
"Flusight-baseline","72",0.475966067221005,16
"Flusight-baseline","US",Inf,16
"MOBS-GLEAM_FLUH","01",1.74558991736042,16
"MOBS-GLEAM_FLUH","02",2.30578119318302,16
"MOBS-GLEAM_FLUH","05",2.4332752247722,16
