"model_id","reference_date","log_score","n"
"Flusight-baseline",2022-10-22,Inf,212
"Flusight-baseline",2022-11-19,Inf,212
"Flusight-baseline",2022-12-17,1.82129502369308,212
"Flusight-baseline",2023-01-14,2.58192779165832,212
"MOBS-GLEAM_FLUH",2022-10-22,1.25454521683379,104
"MOBS-GLEAM_FLUH",2022-11-19,Inf,200
"MOBS-GLEAM_FLUH",2022-12-17,0.875067175682554,208
"MOBS-GLEAM_FLUH",2023-01-14,0.505345266949342,208
"PSI-DICE",2022-10-22,Inf,212
"PSI-DICE",2022-11-19,Inf,212
"PSI-DICE",2023-01-14,1.03041661679059,212
"PSI-DICE",2022-12-17,1.2039983725234,212
