"model_id","target_end_date","log_score","n"
"Flusight-baseline",2022-10-22,0.0877926546562193,53
"Flusight-baseline",2022-10-29,1.48877166158136,53
"Flusight-baseline",2022-11-05,Inf,53
"Flusight-baseline",2022-11-12,Inf,53
"Flusight-baseline",2022-11-19,Inf,53
"Flusight-baseline",2022-11-26,Inf,53
"Flusight-baseline",2022-12-03,Inf,53
"Flusight-baseline",2022-12-10,Inf,53
"Flusight-baseline",2022-12-17,1.06711105524108,53
"Flusight-baseline",2022-12-24,1.476803270243,53
"Flusight-baseline",2022-12-31,1.64913392736994,53
"Flusight-baseline",2023-01-07,3.09213184191828,53
"Flusight-baseline",2023-01-14,2.60849315631774,53
"Flusight-baseline",2023-01-21,2.74836380815768,53
"Flusight-baseline",2023-01-28,2.63692626321667,53
"Flusight-baseline",2023-02-04,2.33392793894118,53
"MOBS-GLEAM_FLUH",2022-10-22,0.372198060138237,26
"MOBS-GLEAM_FLUH",2022-10-29,0.813457800843671,26
"MOBS-GLEAM_FLUH",2022-11-05,1.66697518499049,26
"MOBS-GLEAM_FLUH",2022-11-12,2.16554982136278,26
"MOBS-GLEAM_FLUH",2022-11-19,Inf,50
"MOBS-GLEAM_FLUH",2022-11-26,Inf,50
"MOBS-GLEAM_FLUH",2022-12-03,Inf,50
"MOBS-GLEAM_FLUH",2022-12-10,Inf,50
"MOBS-GLEAM_FLUH",2022-12-17,0.836614445086954,52
"MOBS-GLEAM_FLUH",2022-12-24,0.818520890975724,52
"MOBS-GLEAM_FLUH",2022-12-31,0.850118744429621,52
"MOBS-GLEAM_FLUH",2023-01-07,0.995014622237916,52
"MOBS-GLEAM_FLUH",2023-01-14,1.1502155961773,52
"MOBS-GLEAM_FLUH",2023-01-21,0.633962290576058,52
"MOBS-GLEAM_FLUH",2023-01-28,0.191269324262454,52
"MOBS-GLEAM_FLUH",2023-02-04,0.0459338567815525,52
"PSI-DICE",2022-10-22,0.0685893739734017,53
"PSI-DICE",2022-10-29,0.571546038423116,53
"PSI-DICE",2022-11-05,Inf,53
"PSI-DICE",2022-11-12,Inf,53
"PSI-DICE",2022-11-19,1.38886760185683,53
"PSI-DICE",2022-11-26,Inf,53
"PSI-DICE",2022-12-03,Inf,53
"PSI-DICE",2022-12-10,Inf,53
"PSI-DICE",2023-01-14,1.37938933731379,53
"PSI-DICE",2023-01-21,1.07559237967495,53
"PSI-DICE",2023-01-28,0.849085026583106,53
"PSI-DICE",2023-02-04,0.817599723590509,53
"PSI-DICE",2022-12-17,0.735878005975276,53
"PSI-DICE",2022-12-24,0.813293809608953,53
"PSI-DICE",2022-12-31,1.43715778440422,53
"PSI-DICE",2023-01-07,1.82966389010516,53
