"model_id","location","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"Flusight-baseline","01",1,78.3315217391304,1,102.9375,0,0.6875,16
"Flusight-baseline","02",1,26.8080434782609,1,33.4375,0,0.125,16
"Flusight-baseline","04",1,223.312282608696,1,271.25,0,0.3125,16
"Flusight-baseline","05",1,82.953097826087,1,106.6875,0.0625,0.625,16
"Flusight-baseline","06",1,758.814320652174,1,895.9375,0,0.375,16
"Flusight-baseline","08",1,51.0873913043478,1,76.375,0.0625,0.625,16
"Flusight-baseline","09",1,127.308315217391,1,148.4375,0.0625,0.0625,16
"Flusight-baseline","10",1,14.2539673913043,1,19.375,0.125,0.8125,16
"Flusight-baseline","11",1,12.7176086956522,1,16.1875,0.0625,0.5625,16
"Flusight-baseline","12",1,251.918070652174,1,321.125,0.0625,0.25,16
"Flusight-baseline","13",1,40.2014673913043,1,54.375,0.25,0.5,16
"Flusight-baseline","15",1,8.13817934782609,1,10.625,0.1875,0.4375,16
"Flusight-baseline","16",1,66.1020923913044,1,76.75,0.125,0.4375,16
"Flusight-baseline","17",1,298.141956521739,1,346.75,0,0.0625,16
"Flusight-baseline","18",1,245.693288043478,1,287.0625,0.0625,0.125,16
"Flusight-baseline","19",1,75.9978532608696,1,90.1875,0.125,0.4375,16
"Flusight-baseline","20",1,74.6182065217391,1,90.4375,0,0.4375,16
"Flusight-baseline","21",1,222.921929347826,1,254.0625,0,0.3125,16
"Flusight-baseline","22",1,73.3975543478261,1,93,0,0.125,16
"Flusight-baseline","23",1,41.4111956521739,1,50.25,0.1875,0.4375,16
"Flusight-baseline","24",1,80.1441304347826,1,100.875,0.0625,0.25,16
"Flusight-baseline","25",1,174.878777173913,1,207.1875,0.125,0.4375,16
"Flusight-baseline","26",1,271.573885869565,1,312.5625,0.125,0.3125,16
"Flusight-baseline","27",1,91.8254347826087,1,114.625,0,0.375,16
"Flusight-baseline","28",1,47.7483423913043,1,62.375,0.125,0.6875,16
"Flusight-baseline","29",1,247.428260869565,1,289.8125,0,0.125,16
"Flusight-baseline","30",1,27.9798369565217,1,35.375,0.1875,0.4375,16
"Flusight-baseline","31",1,31.4805706521739,1,41.5,0.25,0.5,16
"Flusight-baseline","32",1,111.625760869565,1,135.9375,0.0625,0.375,16
"Flusight-baseline","33",1,36.5626358695652,1,42.5625,0.25,0.5,16
"Flusight-baseline","34",1,180.938288043478,1,221.9375,0.125,0.4375,16
"Flusight-baseline","35",1,83.3691032608696,1,103.8125,0.125,0.4375,16
"Flusight-baseline","36",1,393.68589673913,1,457.375,0.0625,0.25,16
"Flusight-baseline","37",1,119.021902173913,1,154.9375,0.0625,0.375,16
"Flusight-baseline","38",1,15.8051902173913,1,21.25,0.25,0.5625,16
"Flusight-baseline","39",1,239.469538043478,1,288.8125,0.0625,0.3125,16
"Flusight-baseline","40",1,216.065326086957,1,257.5625,0,0.375,16
"Flusight-baseline","41",1,173.365733695652,1,194.8125,0.125,0.4375,16
"Flusight-baseline","42",1,314.191766304348,1,370,0,0.1875,16
"Flusight-baseline","44",1,11.5611956521739,1,14.375,0.125,0.5,16
"Flusight-baseline","45",1,60.31,1,74,0.0625,0.4375,16
"Flusight-baseline","46",1,22.6490760869565,1,29.4375,0.3125,0.5,16
"Flusight-baseline","47",1,135.754619565217,1,167,0,0.375,16
"Flusight-baseline","48",1,499.459836956522,1,608,0,0.125,16
"Flusight-baseline","49",1,16.5654891304348,1,22.3125,0.125,0.4375,16
"Flusight-baseline","50",1,15.505625,1,18.9375,0.25,0.4375,16
"Flusight-baseline","51",1,97.6396195652174,1,120.5,0,0.4375,16
"Flusight-baseline","53",1,189.953614130435,1,215.5625,0,0.375,16
"Flusight-baseline","54",1,72.0948369565217,1,90.25,0,0.3125,16
"Flusight-baseline","55",1,130.495108695652,1,152,0.0625,0.5,16
"Flusight-baseline","56",1,16.440652173913,1,20.875,0.1875,0.75,16
"Flusight-baseline","72",1,14.8481793478261,1,23.625,0.3125,1,16
"Flusight-baseline","US",1,6511.91260869565,1,7571.9375,0,0.125,16
"MOBS-GLEAM_FLUH","01",2.09813883299799,164.350407608696,2.29811778992107,236.5625,0.375,0.625,16
"MOBS-GLEAM_FLUH","02",0.552938767566516,14.8232065217391,0.585046728971963,19.5625,0.125,0.5,16
"MOBS-GLEAM_FLUH","04",0.415912223346223,115.012608695652,0.510424431888912,171.333333333333,0.0833333333333333,0.666666666666667,12
"MOBS-GLEAM_FLUH","05",1.75430065575296,145.524673913043,1.92794376098418,205.6875,0.1875,0.5,16
"MOBS-GLEAM_FLUH","06",0.509562479395855,436.863079710145,0.623297522042199,642.666666666667,0.166666666666667,0.583333333333333,12
"MOBS-GLEAM_FLUH","08",0.929073034539306,58.2536231884058,0.867465290510516,80.0833333333333,0.166666666666667,0.333333333333333,12
